payment_id,date,customer_id,employee_id,product_id,price
110235,2010-11-05,891493,2825,3,45.5
446242,1999-12-21,624256,2248,0,19.2
736257,2001-09-09,872887,3953,1,60.0
354821,2017-12-12,787096,1170,2,75.0
381944,2014-03-31,278643,3713,1,60.0
951177,2020-02-07,705989,3726,2,75.0
801991,2007-12-08,869967,747,0,19.2
130421,2000-11-19,713682,2043,2,75.0
25784,2009-02-25,623511,1137,0,19.2
880326,2017-05-15,46350,1137,2,75.0
522468,2017-06-22,555956,1557,2,75.0
58516,2000-08-14,889408,3343,0,19.2
254077,2002-06-22,401303,3345,4,25.99
257247,2017-04-13,807295,431,1,60.0
913914,2015-09-07,806298,1143,1,60.0
90843,2015-11-13,753661,1065,1,60.0
547628,1991-12-11,28355,990,4,25.99
205393,2013-05-23,167307,2568,3,45.5
931825,2016-07-08,953961,1065,2,75.0
611152,2009-09-20,865319,3592,1,60.0
611810,2017-03-04,483516,1926,3,45.5
704096,2010-05-28,589476,1862,3,45.5
541891,2009-02-07,282398,3343,3,45.5
961986,2013-05-08,184288,2656,3,45.5
73464,2018-09-07,940140,1926,2,75.0
929067,2012-11-14,768465,2259,0,19.2
554403,1994-01-15,546431,3446,0,19.2
796021,2019-04-28,469954,2552,1,60.0
184841,2020-10-18,510785,3713,3,45.5
11207,2010-11-06,603339,1802,3,45.5
775430,2012-12-03,181497,990,1,60.0
658007,2016-12-11,818831,1349,0,19.2
761569,1996-05-23,787364,3005,1,60.0
879974,2015-05-08,180712,402,2,75.0
202636,2006-08-20,327977,1756,4,25.99
2636,2017-02-28,922835,3678,1,60.0
29149,2017-03-01,589833,2252,3,45.5
459536,2013-10-12,813411,275,0,19.2
577201,1991-05-15,682197,2623,4,25.99
13018,2017-10-27,912467,2858,3,45.5
344151,2004-10-14,253926,3446,2,75.0
135952,2009-12-29,439198,2252,2,75.0
624428,1998-01-31,142040,1498,2,75.0
652238,1990-04-15,816499,2651,0,19.2
479416,2002-09-06,856914,625,1,60.0
6470,2015-10-11,367242,3592,0,19.2
966426,2002-11-29,926694,2729,4,25.99
846918,1998-01-19,772852,1708,3,45.5
